Event_ID,Code,Event_Type,Category,Status,Location,Suburb,City,Published
P021742480,1U,Traffic Offending,Road Policing,Closed,-,ENDERLEY,HAMILTON,Sat 6:00 PM
P021742291,1D,Domestic Dispute,Family violence,Closed,GARNETT AV,TE RAPA,HAMILTON,Sat 5:56 PM
P021741660,3850,Domestic Violence,Family violence,Closed,HILLCREST RD,RAUMATI BEACH,KAPITI,Sat 5:55 PM
P021742777,1640,Minor Assaults,Violence,Closed,EDEN PL,BRYNDWR,CHRISTCHURCH,Sat 5:50 PM
P021742684,1D,Domestic Dispute,Family violence,Closed,STATION RD,TE PUKE,WESTERN BAY OF PLENTY,Sat 5:50 PM
P021742760,1I,Blockage/Breakdown On Highway,Road Policing,Closed,SH 29,LOWER KAIMAI,WESTERN BAY OF PLENTY,Sat 5:50 PM
P021742697,1V,Vehicle Collision,Road Policing,Closed,EAST ST,ASHBURTON,ASHBURTON,Sat 5:50 PM
P021742695,3530,Disorder,Disorder,Closed,KIRKBRIDE RD,MANGERE,AUCKLAND,Sat 5:50 PM
P021742702,3H,Hotel Visit,Liquor,Closed,VICTORIA ST,WELLINGTON CENTRAL,WELLINGTON,Sat 5:50 PM
P021742761,3H,Hotel Visit,Liquor,Closed,-,,,Sat 5:50 PM
P021742709,4320,Theft Ex Shop,Dishonesty,Closed,QUEEN ST,AUCKLAND CENTRAL,AUCKLAND,Sat 5:50 PM
P021742689,4370,General Theft,Dishonesty,Closed,QUEENS RD,PANMURE,AUCKLAND,Sat 5:50 PM
P021742704,6I,Unauthorised Street And Drag Racing,Disorder,Cancelled,-,PARAPARAUMU BEACH,KAPITI,Sat 5:50 PM
P021742738,1U,Traffic Offending,Road Policing,Closed,-,TAURANGA SOUTH,TAURANGA,Sat 5:50 PM
P021742553,1U,Traffic Offending,Road Policing,Cancelled,ANLABY RD,NIKAU VALLEY,KAPITI,Sat 5:50 PM
P021742620,1I,Blockage/Breakdown On Highway,Road Policing,Closed,SOUTHERN MWY,RAMARAMA,AUCKLAND,Sat 5:40 PM
P021742642,3H,Hotel Visit,Liquor,Closed,-,,,Sat 5:40 PM
P021742636,6110,Trespass,Public safety,Closed,CUSTOMS ST,AUCKLAND CENTRAL,AUCKLAND,Sat 5:40 PM
